ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412822,0.7671704878251002,0.5366609926959667,Gooden,Republican,conservative Republican,13,205,67,86
412397,0.8031800806880272,0.5815274758181654,Gosar,Republican,conservative Republican,25,232,131,337
400158,0.596178636506061,0.6507075030955577,Graves,Republican,rank-and-file Republican,15,92,169,253
412661,0.8241107854505043,0.7424968678886971,Grothman,Republican,conservative Republican leader,29,265,254,342
412793,0.8151672647959584,0.7522974257223212,Guest,Republican,conservative Republican leader,10,242,196,359
412748,0.6749777012267352,0.5746899568073689,Hern,Republican,rank-and-file Republican,17,100,173,265
412609,0.6397148107791072,0.6033553246345879,Hill,Republican,rank-and-file Republican,29,109,138,266
412437,0.6758521110894836,0.6244873612549819,Huizenga,Republican,rank-and-file Republican,34,191,212,368
412816,0.6828047209892609,0.7778381414469925,Johnson [SD0],Republican,moderate Republican leader,37,131,210,409
412226,0.5387164693052492,0.09115903090410064,Jordan,Republican,centrist Republican follower ,1,19,1,1
412812,0.6447509949794054,0.5290861333428185,Joyce [PA13],Republican,rank-and-file Republican,22,124,153,265
412435,0.2698337361707877,0.5520279969531456,Keating,Democrat,rank-and-file Democrat,19,288,138,220
412465,0.7056362205750168,0.9399667874934573,Kelly [PA16],Republican,moderate Republican leader,30,239,369,1092
412724,0.6884352923655312,0.6128950756532981,Kustoff,Republican,rank-and-file Republican,29,157,114,161
412674,0.6419580232612602,0.8612364577594155,LaHood,Republican,moderate Republican leader,35,172,288,635
