fips,state,district_ids,margin,competitive,p1_data_tier,margin_stale,source,vintage
28155,MS,,-44.728,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28157,MS,,33.835,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28159,MS,,1.323,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28161,MS,,0.982,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28163,MS,,12.059,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
31001,NE,,-39.912,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31003,NE,,-71.918,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31005,NE,,-82.8,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31007,NE,,-77.778,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31009,NE,,-70.874,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31011,NE,,-62.832,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31013,NE,,-50.49,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31015,NE,,-70.796,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31017,NE,,-64.062,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31019,NE,,-45.405,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31021,NE,,-49.59,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31023,NE,,-61.93,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31025,NE,,-36.344,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31027,NE,,-68.42,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31029,NE,,-73.155,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31031,NE,,-68.339,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31033,NE,,-66.746,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31035,NE,,-64.084,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31037,NE,,-59.547,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31039,NE,,-64.798,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31041,NE,,-68.05,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31043,NE,,-44.18,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31045,NE,,-41.807,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31047,NE,,-57.954,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31049,NE,,-73.124,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
31051,NE,,-57.853,False,gubernatorial,False,NE 2022 gubernatorial (Pillen R def. Blood D); official NE Board of State Canvassers canvass book county table,2022
