bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
V000131,Marc A. Veasey,TX,D,house,33,1.0,0.3319526084684609,0.668047391531539,0.867219,both
W000814,"Randy K. Weber, Sr.",TX,R,house,14,0.0,1.0,0.0,0.0,both
W000816,Roger Williams,TX,R,house,25,0.0,0.7769796817616844,0.22302031823831558,0.089208,both
C001114,John R. Curtis,UT,R,senate,,0.0,0.618417542708895,0.38158245729110496,0.152633,both
S346,Mike Lee,UT,R,senate,,0.0,0.8719528945232972,0.12804710547670284,0.051219,both
M001213,Blake D. Moore,UT,R,house,1,0.0,0.6497495983878471,0.35025040161215293,0.1401,both
O000086,Burgess Owens,UT,R,house,4,0.0,0.7690614782973173,0.2309385217026827,0.092375,both
B001292,"Donald S. Beyer, Jr.",VA,D,house,8,1.0,0.2161674665883196,0.7838325334116805,0.913533,both
C001118,Ben Cline,VA,R,house,6,0.0,0.8139982696585882,0.18600173034141176,0.074401,both
G000568,H. Morgan Griffith,VA,R,house,9,0.0,0.5987248443340407,0.4012751556659593,0.16051,both
S327,Mark Warner,VA,D,senate,,1.0,0.4166560292560938,0.5833439707439062,0.833338,both
S000185,"Robert C. ""Bobby"" Scott",VA,D,house,3,1.0,0.25418233583167005,0.74581766416833,0.898327,both
S362,Timothy Kaine,VA,D,senate,,1.0,0.29486443439381144,0.7051355656061886,0.882054,both
W000804,Robert J. Wittman,VA,R,house,1,0.0,0.6864832894280494,0.31351671057195063,0.125407,both
S313,Bernard Sanders,VT,I,senate,,1.0,0.0,1.0,1.0,both
W000800,Peter Welch,VT,D,senate,,1.0,0.15994510703574977,0.8400548929642502,0.936022,both
D000617,Suzan K. DelBene,WA,D,house,1,1.0,0.26203864463072246,0.7379613553692775,0.895185,both
J000298,Pramila Jayapal,WA,D,house,7,1.0,0.11672013545729598,0.883279864542704,0.953312,both
L000560,Rick Larsen,WA,D,house,2,1.0,0.2832973992427649,0.716702600757235,0.886681,both
S275,Maria Cantwell,WA,D,senate,,1.0,0.33477768133043573,0.6652223186695643,0.866089,both
N000189,Dan Newhouse,WA,R,house,4,0.5,0.7146203618630974,0.2853796381369026,0.414152,both
S229,Patty Murray,WA,D,senate,,1.0,0.22623836618481305,0.7737616338151869,0.909505,both
S001216,Kim Schrier,WA,D,house,8,1.0,0.38014265525795743,0.6198573447420426,0.847943,both
S000510,Adam Smith,WA,D,house,9,1.0,0.1914124420812226,0.8085875579187773,0.923435,both
S001159,Marilyn Strickland,WA,D,house,10,1.0,0.24847255358761103,0.751527446412389,0.900611,both
F000471,Scott Fitzgerald,WI,R,house,5,0.0,0.6941362789729407,0.3058637210270593,0.122345,both
G000576,Glenn Grothman,WI,R,house,6,0.0,0.8241107854505043,0.1758892145494957,0.070356,both
M001160,Gwen Moore,WI,D,house,4,1.0,0.17144747832249008,0.8285525216775099,0.931421,both
P000607,Mark Pocan,WI,D,house,2,1.0,0.171391912340956,0.828608087659044,0.931443,both
S345,Ron Johnson,WI,R,senate,,0.0,0.7717256712785879,0.22827432872141207,0.09131,both
S001213,Bryan Steil,WI,R,house,1,0.5,0.6192513153489663,0.38074868465103373,0.452299,both
S354,Tammy Baldwin,WI,D,senate,,1.0,0.2156181913862964,0.7843818086137035,0.913753,both
T000165,Thomas P. Tiffany,WI,R,house,7,0.0,0.794092317649429,0.205907682350571,0.082363,both
M001205,Carol D. Miller,WV,R,house,1,0.0,0.7025594126700854,0.29744058732991463,0.118976,both
S372,Shelley Capito,WV,R,senate,,0.0,0.7339199536762288,0.26608004632377125,0.106432,both
S410,Cynthia Lummis,WY,R,senate,,0.0,0.9151193238195948,0.08488067618040518,0.033952,both
S317,John Barrasso,WY,R,senate,,0.0,0.8626290366011858,0.13737096339881416,0.054948,both
